team,average,average_score,homerun,homerun_score,ops,ops_score,era,era_score,fip,fip_score,whip,whip_score,score,real_rank,ex_rank
KT,0.24242,3.537919206,87,15.45154621,0.66754,5.728441328,3.59,7.106651235,3.51,6.217764157,1.25,6.95186323,44.99418536,4,1
LG,0.25435,3.980159107,94,8.132392741,0.70165,6.444496494,3.73,5.527395405,3.95,4.974211326,1.29,4.866304261,33.92495933,2,2
Å°¿ò,0.21912,6.191358611,71,3.252957096,0.60952,3.58027583,3.52,7.89627915,3.98,4.35243491,1.27,5.561490584,30.83479618,3,3
KIA,0.26868,4.422399008,79,5.692674919,0.72274,7.16055166,4.1,3.948139575,4.26,2.487105663,1.39,4.171117938,27.88198876,5,4
SSG,0.21874,1.326719702,87,6.505914193,0.60143,2.148165498,3.71,6.31702332,4.2,3.108882079,1.25,6.256676907,25.6633817,1,5
·Ôµ¥,0.21868,0.884479802,75,4.879435645,0.58944,1.432110332,4.56,1.57925583,3.6,5.595987741,1.46,3.475931615,17.84720096,6,6
NC,0.2146,0.442239901,66,2.439717822,0.60616,2.864220664,3.93,4.73776749,3.99,3.730658494,1.46,2.780745292,16.99534966,7,7
µÎ»ê,0.23707,3.095679305,62,0.813239274,0.64354,5.012386162,4.27,3.15851166,4.44,1.865329247,1.46,2.085558969,16.03070462,8,8
ÇÑÈ­,0.22438,2.211199504,74,4.066196371,0.61054,4.296330996,4.95,0.789627915,4.49,0.621776416,1.58,0.695186323,12.68031752,10,9
»ï¼º,0.22668,2.653439405,64,1.626478548,0.58832,0.716055166,4.53,2.368883745,4.44,1.243552831,1.48,1.390372646,9.998782341,9,10
